activity_id,date,activity_time,description,user_name,user_id,role_name,role_id,transaction_id,transaction_name,customer_name,customer_id,transaction_type,operation_type,is_from_client_portal,app_source,notes
99381000031740205,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18898"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029737001,SO-18898,SRI KRISHNA ENTERPRISES,99381000009307132,salesorder,deleted,false,Zoho Books,
99381000031740204,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18886"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029707087,SO-18886,SRI KRISHNA ENTERPRISES,99381000009307132,salesorder,deleted,false,Zoho Books,
99381000031740203,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18870"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029688813,SO-18870,BEETA SCALES,99381000001702591,salesorder,deleted,false,Zoho Books,
99381000031740202,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18872"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029678044,SO-18872,EWAY CHERUPULASSERY,99381000022842056,salesorder,deleted,false,Zoho Books,
99381000031740201,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18863"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029678029,SO-18863,DEEPAK ELECTRONICS,99381000002314035,salesorder,deleted,false,Zoho Books,
99381000031740200,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18831"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029635001,SO-18831,ADIMALI SCALES,99381000002439359,salesorder,deleted,false,Zoho Books,
99381000031740199,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18802"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029610001,SO-18802,NITHIN INDUSTRIES,99381000005562648,salesorder,deleted,false,Zoho Books,
99381000031740198,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18794"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029576001,SO-18794,ALUVA SCALES INC,99381000000014794,salesorder,deleted,false,Zoho Books,
99381000031740197,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18771"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029553001,SO-18771,ALUVA SCALES INC,99381000000014794,salesorder,deleted,false,Zoho Books,
99381000031740196,2026-07-26,26/07/2026 10:22 AM,"Sales Orders ""SO-18767"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029539071,SO-18767,ROYAL SCALES,99381000002549012,salesorder,deleted,false,Zoho Books,
99381000031739294,2026-07-26,26/07/2026 10:20 AM,"Sales Orders ""SO-18492"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000028860043,SO-18492,ROYAL SCALES,99381000002549012,salesorder,deleted,false,Zoho Books,
99381000031739293,2026-07-26,26/07/2026 10:20 AM,"Sales Orders ""SO-18474"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000028822001,SO-18474,ALUVA SCALES INC,99381000000014794,salesorder,deleted,false,Zoho Books,
99381000031739292,2026-07-26,26/07/2026 10:20 AM,"Sales Orders ""SO-18462"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000028801489,SO-18462,ELMASS’ Weighing & Automation Pvt. Ltd,99381000005074017,salesorder,deleted,false,Zoho Books,
99381000031739291,2026-07-26,26/07/2026 10:20 AM,"Sales Orders ""SO-18450"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000028779799,SO-18450,Sonic Weighing Systems,99381000000260021,salesorder,deleted,false,Zoho Books,
99381000031739290,2026-07-26,26/07/2026 10:20 AM,"Sales Orders ""SO-18456"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000028775188,SO-18456,VENKATACHALAM & CO,99381000014693003,salesorder,deleted,false,Zoho Books,
