PriceList Name,PriceList ID,Currency Code,Description,Percentage,Is Increase,Rounding Type,Decimal Place,PriceList Status,Type,IsDefault,Item Name,SKU,Pricing Scheme,Start Quantity,End Quantity,PriceList Rate,Discount
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,YSA DISPLAY STICKER,YSADIS,unit,1.00,1.00,230.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECS 5W LOAD CELL,ECS805,unit,1.00,1.00,375.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Bench PC Back Display Board (Red),BPC112,unit,1.00,1.00,110.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,PLATFORM Load Cell 200kg,PLC200,unit,1.00,1.00,400.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,BODY SET ATM PC WATER PROOF,WPC414,unit,1.00,1.00,400.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q9LBL PRINT HEAD,Q9703,unit,1.00,1.00,2100.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Loadcell 80 kg:130mm,LK8013,unit,1.00,1.00,180.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECS INDICATOR KEYPAD STICKER,EIKS,unit,1.00,1.00,140.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECR PRINTER COVER,ECR106,unit,1.00,1.00,155.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q9LBL printer head adjust spring small,Q9727,unit,1.00,1.00,25.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,APCPQ Power code connector,APCC,unit,1.00,1.00,60.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Bench  Machine Leg,BPCLEG,unit,1.00,1.00,20.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECS 5W PAN HOLDING CROSS STAND,ECS804,unit,1.00,1.00,350.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Bench PC Load Cell 70kg,BPC113,unit,1.00,1.00,210.000000,
